Specialty,Specialty Code,Package Code,Package Name,Procedure Code,Procedure Name,Procedure Price
Consolidated Master,Specialty,Specialty Code,HBP 2.0,Package Code,HBP 1.0 Package Code HBP 2.0 AB PM - JAY Package Name Procedure Code HBP 2.0 AB PM - JAY Procedure Name Procedure Price Burns Management BM S1100001 BM001 Thermal burns BM001A % Total Body Surface Area Burns (TBSA) - any % (not requiring admission). Needs at least 5-6 dressing,7000
Burns Management,BM,S1100002,BM001,Thermal burns,"BM001B % Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,S1100003,BM001,Thermal burns,"BM001C % Total Body Surface Area Burns (TBSA): 40% - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000
Burns Management,BM,S1100004,BM001,Thermal burns,"BM001D % Total Body Surface Area Burns (TBSA): > 60 %; Includes % TBSA skin grafted, flap cover, follow- up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000
Burns Management,BM,S1100001,BM002,Scald burns,BM002A % Total Body Surface Area Burns (TBSA) - any % (not requiring admission). Needs at least 5-6 dressing,7000
Burns Management,BM,S1100002,BM002,Scald burns,"BM002B % Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,S1100003,BM002,Scald burns,"BM002C % Total Body Surface Area Burns (TBSA): 40% - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000
Burns Management,BM,S1100004,BM002,Scald burns,"BM002D % Total Body Surface Area Burns (TBSA): >  60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000
Burns Management,BM,S1100001,BM003,Flame burns,BM003A % Total Body Surface Area Burns (TBSA) - any % (not requiring admission). Needs at least 5-6 dressing,7000
Burns Management,BM,S1100002,BM003,Flame burns,"BM003B % Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,S1100003,BM003,Flame burns,"BM003C % Total Body Surface Area Burns (TBSA): 40 % - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000
Burns Management,BM,S1100004,BM003,Flame burns,"BM003D % Total Body Surface Area Burns (TBSA): >  60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000
Burns Management,BM,S1100005,BM004,Electrical contact burns,"BM004A Electrical contact burns: Low voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",30000
Burns Management,BM,S1100006,BM004,Electrical contact burns,"BM004B Electrical contact burns: Low voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,S1100008,BM004,Electrical contact burns,"BM004C Electrical contact burns: High voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",60000
Burns Management,BM,S1100007,BM004,Electrical contact burns,"BM004D Electrical contact burns: High voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000
Burns Management,BM,S1100009,BM005,Chemical burns,"BM005A Chemical burns: Without significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,S1100010,BM005,Chemical burns,"BM005B Chemical burns: With significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",60000
Burns Management,BM,S1100011,BM006,Post Burn Contracture surgeries for Functional,"Improvement BM006A Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Excluding Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post - operative regular dressings for STSG / FTSG / Flap cover.",50000
Health Benefit Package - 2.0,Page 1,Consolidated Master,Burns Management,BM,"S1100012 BM006 Post Burn Contracture surgeries for Functional Improvement BM006B Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post-operative regular dressings for STSG / FTSG / Flap cover.",50000
Emergency,ER,New Package,ER001,Laceration - Suturing / Dressing,ER001A Laceration - Suturing / Dressing,2000
Emergency,ER,M700001,ER002,Cardiopulmonary emergency,ER002A Emergency with stable cardiopulmonary status,2000
Emergency,ER,New Package,ER002,Cardiopulmonary emergency,ER002B Emergency with unstable cardiopulmonary status with resuccitation,10000
Emergency,ER,M700004,ER003,Animal bites (Excluding Snake Bite),ER003A Animal bites (Excluding Snake Bite),1700
Interventional,Neuroradiology,IN,S900003,IN001,Dural AVMs / AVFs IN001A Dural AVMs (per sitting) with glue,70000
Interventional,Neuroradiology,IN,S900003,IN001,Dural AVMs / AVFs IN001B Dural AVFs (per sitting) with glue,70000
Interventional,Neuroradiology,IN,S900004,IN001,Dural AVMs / AVFs IN001C Dural AVMs (per sitting) with onyx,150000
Interventional,Neuroradiology,IN,S900004,IN001,Dural AVMs / AVFs IN001D Dural AVFs (per sitting) with onyx,150000
Interventional,Neuroradiology,IN,S900007,IN002,Cerebral & Spinal AVM embolization - Using Histoacryl (per sitting) IN002A Cerebral AVM embolization - Using Histoacryl (per sitting),100000
Interventional,Neuroradiology,IN,S900007,IN002,Cerebral & Spinal AVM embolization - Using Histoacryl (per sitting) IN002B Spinal AVM embolization - Using Histoacryl (per sitting),100000
Interventional,Neuroradiology,IN,S900001,IN003,Coil embolization for aneurysms (includes cost of first 3 coils + balloon and / or stent if used) IN003A Coil embolization for aneurysms (includes cost of first 3 coils + balloon and / or stent if used),100000
Interventional,Neuroradiology,IN,S900005,IN004,"Carotico-cavernous Fistula (CCF) embolization IN004A Carotico-cavernous Fistula (CCF) embolization with coils. [includes 5 coils, guide catheter, micro-catheter, micro-guidewire, general items]",30000
Interventional,Neuroradiology,IN,S900006,IN004,"Carotico-cavernous Fistula (CCF) embolization IN004B Carotid-cavernous Fistula (CCF) embolization with balloon (includes one balloon, guide catheter, micro- catheter, micro-guidewire, general items)",64000
Interventional,Neuroradiology,IN,S900014,IN005,Pre-operative tumour embolization (per session) IN005A Pre-operative tumour embolization (per session),40000
Interventional,Neuroradiology,IN,S900012,IN006,Intracranial balloon angioplasty with stenting IN006A Intracranial balloon angioplasty with stenting,160000
Interventional,Neuroradiology,IN,S900013,IN007,Intracranial thrombolysis / clot retrieval IN007A Intracranial thrombolysis / clot retrieval,160000
Interventional,Neuroradiology,IN,S900011,IN008,Balloon test occlusion IN008A Balloon test occlusion,70000
Interventional,Neuroradiology,IN,S900008,IN009,Parent vessel occlusion - Basic IN009A Parent vessel occlusion - Basic,30000
Interventional,Neuroradiology,IN,S900015,IN010,Vertebroplasty IN010A Vertebroplasty,40000
Cardiology,MC,New Package,MC001,Right / Left Heart Catheterization,MC001A Right Heart Catheterization,5000
Cardiology,MC,New Package,MC001,Right / Left Heart Catheterization,MC001B Left Heart Catheterization,5000
"Cardiology, Interventional",Radiology,MC,S1200039,MC002,Catheter directed Thrombolysis MC002A For Deep vein thrombosis (DVT),30800
"Cardiology, Interventional",Radiology,MC,S1200039,MC002,Catheter directed Thrombolysis MC002B For Mesenteric Thrombosis,30800
"Cardiology, Interventional",Radiology,MC,S1200039,MC002,Catheter directed Thrombolysis MC002C For Peripheral vessels,30800
Cardiology,MC,S1200012,MC003,Balloon Dilatation,MC003A Coartication of Aorta,38600
Cardiology,MC,New Package,MC003,Balloon Dilatation,MC003B Pulmonary Artrey Stenosis,38600
Cardiology,MC,S1200004,MC004,Balloon Pulmonary / Aortic Valvotomy,MC004A Balloon Pulmonary Valvotomy,23400
Cardiology,MC,S1200002,MC004,Balloon Pulmonary / Aortic Valvotomy,MC004B Balloon Aortic Valvotomy,23400
Cardiology,MC,S1200003,MC005,Balloon Mitral Valvotomy,MC005A Balloon Mitral Valvotomy,35700
Cardiology,MC,S1200001,MC006,Balloon Atrial Septostomy,MC006A Balloon Atrial Septostomy,24400
Cardiology,MC,S1200014,MC007,ASD Device Closure,MC007A ASD Device Closure,36900
Cardiology,MC,S1200015,MC008,VSD Device Closure,MC008A VSD Device Closure,37900
Cardiology,MC,S1200016,MC009,PDA Device Closure,MC009A PDA Device Closure,25000
Cardiology,MC,S1200019,MC010,PDA stenting,MC010A PDA stenting,40260
Cardiology,MC,"S1200024,",S1200025,MC011,"PTCA, inclusive of diagnostic angiogram MC011A PTCA, inclusive of diagnostic angiogram",40600
Cardiology,MC,New Package,MC012,Electrophysiological Study,MC012A Electrophysiological Study,20000
Cardiology,MC,New Package,MC012,Electrophysiological Study,MC012B Electrophysiological Study with Radio Frequency Ablation,20000
Cardiology,MC,S1200027,MC013,Percutaneous Transluminal Septal Myocardial,Ablation MC013A Percutaneous Transluminal Septal Myocardial Ablation,34000
"Cardiology, CTVS",MC,S1200021,MC014,Temporary Pacemaker implantation,MC014A Temporary Pacemaker implantation,19200
"Cardiology, CTVS",MC,S1200023,MC015,Single Chamber Permanent Pacemaker,Implantation MC015A Permanent Pacemaker Implantation - Single Chamber,24500
"Cardiology, CTVS",MC,S1200022,MC016,Double Chamber Permanent Pacemaker,Implantation MC016A Permanent Pacemaker Implantation - Double Chamber,33000
Cardiology,MC,"S1200011,",S1200010,MC017,Peripheral Angioplasty MC017A Peripheral Angioplasty,34500
Cardiology,MC,S1200035,MC018,Bronchial artery Embolisation,(for Haemoptysis) MC018A Bronchial artery Embolisation (for Haemoptysis),32800
"Cardiology,",General Surgery,MC,S1200020,MC019,Pericardiocentesis MC019A Pericardiocentesis,12100
Cardiology,MC,S1200013,MC020,Systemic Thrombolysis (for MI),MC020A Systemic Thrombolysis (for MI),17900
"General Medicine, Pediatric",Medical Management,MG,M100011,MG001,Acute febrile illness MG001A Acute febrile illness,1800
"General Medicine, Pediatric",Medical Management,MG,M100055,MG002,Severe sepsis MG002A Severe sepsis,1800
"General Medicine, Pediatric",Medical Management,MG,M100055,MG002,Severe sepsis MG002B Septic shock,1800
"General Medicine, Pediatric",Medical Management,MG,M100014,MG003,Malaria MG003A Malaria,1800
"General Medicine, Pediatric",Medical Management,MG,"M100051,",M200074,MG003 Malaria MG003B Complicated malaria,1800
"General Medicine, Pediatric",Medical Management,MG,"M100015,",M200030,MG004 Dengue fever MG004A Dengue fever,1800
"General Medicine, Pediatric",Medical Management,MG,M100050,MG004,Dengue fever MG004B Dengue hemorrhagic fever,1800
"General Medicine, Pediatric",Medical Management,MG,"M100050,",M200075,MG004 Dengue fever MG004C Dengue shock syndrome,1800
"General Medicine, Pediatric",Medical Management,MG,"M100016,",M200032,MG005 Chikungunya fever MG005A Chikungunya fever,1800
Page 2,Consolidated Master,"General Medicine, Pediatric",Medical Management,MG,"M100018, M200031 MG006 Enteric fever MG006A Enteric fever",1800
"General Medicine, Pediatric",Medical Management,MG,"M100039,",M200036,MG007 HIV with complications MG007A HIV with complications,1800
"General Medicine, Pediatric",Medical Management,MG,M100017,MG008,Leptospirosis MG008A Leptospirosis,1800
"General Medicine, Pediatric",Medical Management,MG,M100001,MG009,Acute gastroenteritis with dehydration MG009A Acute gastroenteritis with moderate dehydration,1800
"General Medicine, Pediatric",Medical Management,MG,M100048,MG009,Acute gastroenteritis with dehydration MG009B Acute gastroenteritis with severe dehydration,1800
"General Medicine, Pediatric",Medical Management,MG,"M100036,","M200001,",M200028 MG010 Diarrohea MG010A Chronic diarrohea,1800
"General Medicine, Pediatric",Medical Management,MG,"M100036,","M200001,",M200028 MG010 Diarrohea MG010B Persistent diarrohea,1800
"General Medicine, Pediatric",Medical Management,MG,"M100003,",M200002,MG011 Dysentery MG011A Dysentery,1800
"General Medicine, Pediatric",Medical Management,MG,"M100022,",M200033,MG012 Acute viral hepatitis MG012A Acute viral hepatitis,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG013,Chronic Hepatitis MG013A Chronic Hepatitis,1800
"General Medicine, Pediatric",Medical Management,MG,"M100021,",M200073,MG014 Liver abscess MG014A Liver abscess,1800
"General Medicine, Pediatric",Medical Management,MG,"M100038,",M200034,MG015 Visceral leishmaniasis MG015A Visceral leishmaniasis,1800
"General Medicine, Pediatric",Medical Management,MG,"M100019,",M200003,MG016 Pneumonia MG016A Pneumonia,1800
"General Medicine, Pediatric",Medical Management,MG,"M100047,",M200065,MG017 Severe pneumonia MG017A Severe pneumonia,1800
"General Medicine, Pediatric",Medical Management,MG,"M100033,",M200043,MG018 Empyema MG018A Empyema,1800
"General Medicine, Pediatric",Medical Management,MG,M100033,MG019,Lung abscess MG019A Lung abscess,1800
"General Medicine, Pediatric",Medical Management,MG,M100027,MG020,Pericardial / Pleural tuberculosis MG020A Pericardial tuberculosis,1800
"General Medicine, Pediatric",Medical Management,MG,M100027,MG020,Pericardial / Pleural tuberculosis MG020B Pleural tuberculosis,1800
"General Medicine, Pediatric",Medical Management,MG,"M100013,",M200004,MG021 Urinary Tract Infection MG021A Urinary Tract Infection,1800
"General Medicine, Pediatric",Medical Management,MG,M100035,MG022,Viral encephalitis MG022A Viral encephalitis,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG023,Septic Arthritis MG023A Septic Arthritis,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG024,Skin and soft tissue infections MG024A Skin and soft tissue infections,1800
"General Medicine, Pediatric",Medical Management,MG,M100002,MG025,Recurrent vomiting with dehydration MG025A Recurrent vomiting with dehydration,1800
"General Medicine, Pediatric",Medical Management,MG,"M100026,",M200014,MG026 Pyrexia of unknown origin MG026A Pyrexia of unknown origin,1800
General Medicine,MG,New Package,MG027,Bronchiectasis,MG027A Bronchiectasis,1800
"General Medicine, Pediatric",Medical Management,MG,M100005,MG028,Acute bronchitis MG028A Acute bronchitis,1800
General Medicine,MG,"M100012,",M100046,MG029,Acute excaberation of COPD MG029A Acute excaberation of COPD,1800
"General Medicine, Pediatric",Medical Management,MG,M100020,MG030,Acute excaberation of Interstitial Lung Disease MG030A Acute excaberation of Interstitial Lung Disease,1800
"General Medicine, Pediatric",Medical Management,MG,M100031,MG031,Endocarditis MG031A Bacterial Endocarditis,1800
"General Medicine, Pediatric",Medical Management,MG,M100031,MG031,Endocarditis MG031B Fungal Endocarditis,1800
"General Medicine, Pediatric",Medical Management,MG,M100029,MG032,Vasculitis MG032A Vasculitis,1800
"General Medicine, Pediatric",Medical Management,MG,M100037,MG033,Pancreatitis MG033A Acute pancreatitis,1800
"General Medicine, Pediatric",Medical Management,MG,M100037,MG033,Pancreatitis MG033B Chronic pancreatitis,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG034,Ascites MG034A Ascites,1800
"General Medicine, Pediatric",Medical Management,MG,"M100060,","M200081,",M200089 MG035 Acute transverse myelitis MG035A Acute transverse myelitis,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG036,Atrial Fibrillation MG036A Atrial Fibrillation,1800
General Medicine,MG,New Package,MG037,Cardiac Tamponade,MG037A Cardiac Tamponade,1800
"General Medicine, Pediatric",Medical Management,MG,"M100008,",M200076,MG038 Congestive heart failure MG038A Congestive heart failure,1800
"General Medicine, Pediatric",Medical Management,MG,M100045,MG039,Asthma MG039A Acute asthmatic attack,1800
"General Medicine, Pediatric",Medical Management,MG,M100066,MG039,Asthma MG039B Status asthmaticus,1800
"General Medicine, Pediatric",Medical Management,MG,M100044,MG040,Respiratory failure MG040A Type 1 respiratory failure,1800
"General Medicine, Pediatric",Medical Management,MG,M100044,MG040,Respiratory failure MG040B Type 2 respiratory failure,1800
"General Medicine, Pediatric",Medical Management,MG,"M100067,",M200088,"MG040 Respiratory failure MG040C Due to any cause (pneumonia, asthma, COPD, ARDS, foreign body, poisoning, head injury etc.)",1800
"General Medicine, Pediatric",Medical Management,MG,"M100056,",M200070,MG041 Upper GI bleeding MG041A Upper GI bleeding (conservative),1800
"General Medicine, Pediatric",Medical Management,MG,M100057,MG041,Upper GI bleeding MG041B Upper GI bleeding (endoscopic),1800
"General Medicine, Pediatric",Medical Management,MG,"M100058,",M200071,MG042 Lower GI hemorrhage MG042A Lower GI hemorrhage,1800
"General Medicine, Pediatric",Medical Management,MG,New Package,MG043,Addison’s disease MG043A Addison’s disease,1800
General Medicine,MG,M100004,MG044,Renal colic,MG044A Renal colic,1800
"General Medicine, Pediatric",Medical Management,MG,"M100064,",M200067,MG045 AKI / Renal failure MG045A AKI / Renal failure,1800
"General Medicine, Pediatric",Medical Management,MG,M100030,MG046,Seizures MG046A Seizures,1800
"General Medicine, Pediatric",Medical Management,MG,"M100065,",M200091,MG047 Status epilepticus MG047A Status epilepticus,1800
General Medicine,MG,M100054,MG048,Cerebrovascular accident,MG048A Cerebrovascular accident,1800
Page 3,Consolidated Master,General Medicine,MG,"M100063,",M200087 MG049 Cerebral sino-venous thrombosis / Stroke MG049A Cerebral sino-venous thrombosis,1800
General Medicine,MG,New Package,MG049,Cerebral sino-venous thrombosis / Stroke,MG049B Acute stroke,1800
General Medicine,MG,New Package,MG049,Cerebral sino-venous thrombosis / Stroke,MG049C Acute ischemic stroke,1800
General Medicine,MG,New Package,MG049,Cerebral sino-venous thrombosis / Stroke,MG049D Acute heamorrhagic stroke,1800
"General Medicine, Pediatric",Medical Management,MG,"M100059,",M200080,MG050 Immune mediated CNS disorders MG050A Immune mediated CNS disorders,1800
"General Medicine, Pediatric",Medical Management,MG,"M100062,",M200083,MG051 Hydrocephalus MG051A Hydrocephalus,1800
