ID,Procedure Name,Specialty,Procedure Code,Equipment/Infra Required,Cost (INR),Typically Available In,Not Feasible in Tier-3 Due to
1,Bone Marrow Transplant,Hematology,HEM001001,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
2,Liver Transplant,Hepatology,HEP001002,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
3,Gamma Knife Radiosurgery,Neurosurgery,NS001003,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
4,Robotic-Assisted Prostatectomy,Urology,URO001004,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
5,Robotic-Assisted Prostatectomy,Urology,URO001005,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
6,Bone Marrow Transplant,Hematology,HEM001006,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
7,Liver Transplant,Hepatology,HEP001007,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
8,Bone Marrow Transplant,Hematology,HEM001008,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
9,Bone Marrow Transplant,Hematology,HEM001009,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
10,Robotic-Assisted Prostatectomy,Urology,URO001010,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
11,Robotic-Assisted Prostatectomy,Urology,URO001011,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
12,Liver Transplant,Hepatology,HEP001012,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
13,Bone Marrow Transplant,Hematology,HEM001013,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
14,Gamma Knife Radiosurgery,Neurosurgery,NS001014,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
15,Bone Marrow Transplant,Hematology,HEM001015,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
16,CAR-T Cell Therapy,Immuno-Oncology,ONC004016,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
17,Bone Marrow Transplant,Hematology,HEM001017,"Stem Cell Lab, Isolation Unit",2489467,Tier-1 Only,"Need for advanced labs, post-care facilities"
18,CAR-T Cell Therapy,Immuno-Oncology,ONC004018,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
19,Robotic-Assisted Prostatectomy,Urology,URO001019,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
20,Liver Transplant,Hepatology,HEP001020,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
21,Liver Transplant,Hepatology,HEP001021,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
22,Robotic-Assisted Prostatectomy,Urology,URO001022,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
23,Liver Transplant,Hepatology,HEP001023,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
24,Liver Transplant,Hepatology,HEP001024,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
25,Robotic-Assisted Prostatectomy,Urology,URO001025,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
26,Liver Transplant,Hepatology,HEP001026,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
27,Liver Transplant,Hepatology,HEP001027,"ICU, Transplant Surgeons, Donor Registry",2788966,Tier-1 Only,"Needs ICU, organ transport logistics"
28,CAR-T Cell Therapy,Immuno-Oncology,ONC004028,"Cell Engineering Labs, ICU",3323218,Limited to 2–3 Centers,Requires gene editing & cell infusion infra
29,Gamma Knife Radiosurgery,Neurosurgery,NS001029,Gamma Knife Machine,296256,Metro Cities Only,Needs specialized radiation machines
30,Robotic-Assisted Prostatectomy,Urology,URO001030,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
31,Robotic-Assisted Prostatectomy,Urology,URO001031,Da Vinci Surgical Robot,477457,Tier-1 & Tier-2,"Lack of robotic infrastructure, trained surgeons"
